Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Take the Money and Run,Steve Miller Band,1976,Take the Money and Run by Steve Miller Band,1,1,71,71
You Got Lucky,Tom Petty & The Heartbreakers,1982,You Got Lucky by Tom Petty & The Heartbreakers,1,1,71,71
Pour Some Sugar On Me,Def Leppard,1987,Pour Some Sugar On Me by Def Leppard,1,1,70,70
Rocky Mountain Way,Joe Walsh,1973,Rocky Mountain Way by Joe Walsh,1,1,70,70
Fat Bottomed Girls,Queen,1978,Fat Bottomed Girls by Queen,1,1,70,70
You Really Got Me,Van Halen,1978,You Really Got Me by Van Halen,1,1,70,70
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,You Ain't Seen Nothin' Yet by Bachman-Turner Overdrive,1,1,69,69
Fool In the Rain,Led Zeppelin,1979,Fool In the Rain by Led Zeppelin,1,1,69,69
Killer Queen,Queen,1974,Killer Queen by Queen,1,1,69,69
Somebody To Love,Queen,1976,Somebody To Love by Queen,1,1,69,69
Rock You Like a Hurricane,Scorpions,1984,Rock You Like a Hurricane by Scorpions,1,1,69,69
Come Together,The Beatles,1969,Come Together by The Beatles,1,1,69,69
Don't Do Me Like That,Tom Petty & The Heartbreakers,1979,Don't Do Me Like That by Tom Petty & The Heartbreakers,1,1,69,69
Ain't Talkin' 'bout Love,Van Halen,1978,Ain't Talkin' 'bout Love by Van Halen,1,1,69,69
White Room,Cream,1968,White Room by Cream,1,1,68,68
Rocket Man,Elton John,1972,Rocket Man by Elton John,1,1,68,68
Gypsy,Fleetwood Mac,1982,Gypsy by Fleetwood Mac,1,1,67,67
Purple Haze,Jimi Hendrix,1967,Purple Haze by Jimi Hendrix,1,1,67,67
T.N.T.,AC/DC,1975,T.N.T. by AC/DC,1,1,66,66
Radar Love,Golden Earring,1973,Radar Love by Golden Earring,1,1,66,66
Rock of Ages,Def Leppard,1983,Rock of Ages by Def Leppard,1,1,65,65
The Chain,Fleetwood Mac,1977,The Chain by Fleetwood Mac,1,1,65,65
Hey You,Pink Floyd,1979,Hey You by Pink Floyd,1,1,65,65
Magic Carpet Ride,Steppenwolf,1968,Magic Carpet Ride by Steppenwolf,1,1,65,65
Kashmir,Led Zeppelin,1975,Kashmir by Led Zeppelin,1,1,64,64
What's Your Name,Lynyrd Skynyrd,1977,What's Your Name by Lynyrd Skynyrd,1,1,64,64
Don't Stand So Close To Me,The Police,1980,Don't Stand So Close To Me by The Police,1,1,64,64
You Give Love A Bad Name,Bon Jovi,1986,You Give Love A Bad Name by Bon Jovi,1,1,63,63
Bad to the Bone,George Thorogood,1982,Bad to the Bone by George Thorogood,1,1,63,63
Fire,Jimi Hendrix,1967,Fire by Jimi Hendrix,1,1,63,63
Shooting Star,Bad Company,1975,Shooting Star by Bad Company,1,1,62,62
Bennie And The Jets,Elton John,1973,Bennie And The Jets by Elton John,1,1,62,62
Dust In The Wind,Kansas,1977,Dust In The Wind by Kansas,1,1,62,62
Hit Me With Your Best Shot,Pat Benatar,1980,Hit Me With Your Best Shot by Pat Benatar,1,1,62,62
You Can't Always Get What You Want,Rolling Stones,1969,You Can't Always Get What You Want by Rolling Stones,1,1,62,62
Urgent,Foreigner,1981,Urgent by Foreigner,1,1,61,61
Black Magic Woman,Santana,1970,Black Magic Woman by Santana,1,1,61,61
Blue Collar Man,Styx,1978,Blue Collar Man by Styx,1,1,61,61
Rock The Casbah,The Clash,1982,Rock The Casbah by The Clash,1,1,61,61
"Lovin', Touchin' Squeezin'",Journey,1979,"Lovin', Touchin' Squeezin' by Journey",1,1,60,60
(I Can't Get No) Satisfaction,Rolling Stones,1965,(I Can't Get No) Satisfaction by Rolling Stones,1,1,60,60
Freewill,Rush,1980,Freewill by Rush,1,1,60,60
Goodbye Stranger,Supertramp,1979,Goodbye Stranger by Supertramp,1,1,60,60
Every Little Thing She Does Is Magic,The Police,1981,Every Little Thing She Does Is Magic by The Police,1,1,60,60
Pride (In the Name of Love),U2,1984,Pride (In the Name of Love) by U2,1,1,60,60
Rock & Roll Band,Boston,1976,Rock & Roll Band by Boston,1,1,59,59
Fame,David Bowie,1975,Fame by David Bowie,1,1,59,59
Run Like Hell,Pink Floyd,1979,Run Like Hell by Pink Floyd,1,1,59,59
Young Lust,Pink Floyd,1979,Young Lust by Pink Floyd,1,1,59,59
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,"Another Brick in the Wall, Pt. 2 by Pink Floyd",1,1,58,58
Paint It Black,Rolling Stones,1966,Paint It Black by Rolling Stones,1,1,58,58
Should I Stay Or Should,The Clash,1982,Should I Stay Or Should by The Clash,1,1,58,58
Surrender,Cheap Trick,1978,Surrender by Cheap Trick,1,1,57,57
Have You Ever Seen the Rain?,Creedence Clearwater Revival,1971,Have You Ever Seen the Rain? by Creedence Clearwater Revival,1,1,57,57
Crazy Little Thing Called Love,Queen,1979,Crazy Little Thing Called Love by Queen,1,1,57,57
You're My Best Friend,Queen,1976,You're My Best Friend by Queen,1,1,57,57
Black Betty,Ram Jam,1977,Black Betty by Ram Jam,1,1,57,57
It's Only Rock 'n Roll,Rolling Stones,1974,It's Only Rock 'n Roll by Rolling Stones,1,1,57,57
