Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
ALL YOU ZOMBIES,Hooters,1985,ALL YOU ZOMBIES by Hooters,1,1,4,4
AND WE DANCED,Hooters,1985,AND WE DANCED by Hooters,1,1,4,4
I Want A New Drug,Huey Lewis & The News,1983,I Want A New Drug by Huey Lewis & The News,1,1,4,4
Lust for Life,Iggy Pop,1977,Lust for Life by Iggy Pop,1,1,4,4
Are You Experienced?,Jimi Hendrix,1967,Are You Experienced? by Jimi Hendrix,1,1,4,4
Red House,Jimi Hendrix,1967,Red House by Jimi Hendrix,1,1,4,4
Stone Free,Jimi Hendrix,1966,Stone Free by Jimi Hendrix,1,1,4,4
Funk #49,Joe Walsh,2012,Funk #49 by Joe Walsh,1,1,4,4
R.O.C.K. In the U.S.A.,John Mellencamp,1985,R.O.C.K. In the U.S.A. by John Mellencamp,1,1,4,4
Calling Dr. Love,Kiss,1976,Calling Dr. Love by Kiss,1,1,4,4
Lick It Up,Kiss,1983,Lick It Up by Kiss,1,1,4,4
Boogie With Stu,Led Zeppelin,1975,Boogie With Stu by Led Zeppelin,1,1,4,4
Celebration Day,Led Zeppelin,1970,Celebration Day by Led Zeppelin,1,1,4,4
Gallows Pole,Led Zeppelin,1970,Gallows Pole by Led Zeppelin,1,1,4,4
Hot Dog,Led Zeppelin,1979,Hot Dog by Led Zeppelin,1,1,4,4
In the Light,Led Zeppelin,1975,In the Light by Led Zeppelin,1,1,4,4
American Woman,Lenny Kravitz,1998,American Woman by Lenny Kravitz,1,1,4,4
Lightning Crashes,Live,1994,Lightning Crashes by Live,1,1,4,4
Gimme Back My Bullets,Lynyrd Skynyrd,1976,Gimme Back My Bullets by Lynyrd Skynyrd,1,1,4,4
I Know a Little,Lynyrd Skynyrd,1977,I Know a Little by Lynyrd Skynyrd,1,1,4,4
Fade To Black,Metallica,1984,Fade To Black by Metallica,1,1,4,4
Sad But True,Metallica,1991,Sad But True by Metallica,1,1,4,4
Don't Go Away Mad (Just Go Away),Motley Crue,1989,Don't Go Away Mad (Just Go Away) by Motley Crue,1,1,4,4
Same Ol' Situation,Motley Crue,1989,Same Ol' Situation by Motley Crue,1,1,4,4
Shout at the Devil,Motley Crue,1983,Shout at the Devil by Motley Crue,1,1,4,4
The Needle and the Damage Done,Neil Young,1972,The Needle and the Damage Done by Neil Young,1,1,4,4
How You Remind Me,Nickelback,2001,How You Remind Me by Nickelback,1,1,4,4
Helen Wheels,Paul McCartney & Wings,1973,Helen Wheels by Paul McCartney & Wings,1,1,4,4
Uncle Albert/Admiral Halsey,Paul McCartney & Wings,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Wings,1,1,4,4
Lightning Bolt,Pearl Jam,2013,Lightning Bolt by Pearl Jam,1,1,4,4
Keep Talking,Pink Floyd,1994,Keep Talking by Pink Floyd,1,1,4,4
The Great Gig In the Sky,Pink Floyd,1973,The Great Gig In the Sky by Pink Floyd,1,1,4,4
Keep Yourself Alive,Queen,1973,Keep Yourself Alive by Queen,1,1,4,4
Tie Your Mother Down,Queen,1976,Tie Your Mother Down by Queen,1,1,4,4
Metal Health,Quiet Riot,1983,Metal Health by Quiet Riot,1,1,4,4
Californication,Red Hot Chili Peppers,1999,Californication by Red Hot Chili Peppers,1,1,4,4
Photograph,Ringo Starr,1973,Photograph by Ringo Starr,1,1,4,4
Happy,Rolling Stones,1972,Happy by Rolling Stones,1,1,4,4
Monkey Man,Rolling Stones,1969,Monkey Man by Rolling Stones,1,1,4,4
Europa,Santana,1977,Europa by Santana,1,1,4,4
Blackout,Scorpions,1982,Blackout by Scorpions,1,1,4,4
The Sounds Of Silence,Simon & Garfunkel,1966,The Sounds Of Silence by Simon & Garfunkel,1,1,4,4
Fell On Black Days,Soundgarden,1994,Fell On Black Days by Soundgarden,1,1,4,4
GIMME SOME LOVIN',Spencer Davis Group,1966,GIMME SOME LOVIN' by Spencer Davis Group,1,1,4,4
It's Been Awhile,Staind,2001,It's Been Awhile by Staind,1,1,4,4
While You See a Chance,Steve Winwood,1980,While You See a Chance by Steve Winwood,1,1,4,4
Texas Flood,Stevie Ray Vaughan,1983,Texas Flood by Stevie Ray Vaughan,1,1,4,4
Lorelei,Styx,1975,Lorelei by Styx,1,1,4,4
What I Got,Sublime,1996,What I Got by Sublime,1,1,4,4
Hunger Strike,Temple of the Dog,1990,Hunger Strike by Temple of the Dog,1,1,4,4
Love Song,Tesla,1989,Love Song by Tesla,1,1,4,4
All My Loving,The Beatles,1963,All My Loving by The Beatles,1,1,4,4
Drive My Car,The Beatles,1965,Drive My Car by The Beatles,1,1,4,4
Help!,The Beatles,1965,Help! by The Beatles,1,1,4,4
Ticket to Ride,The Beatles,1965,Ticket to Ride by The Beatles,1,1,4,4
Yellow Submarine,The Beatles,1966,Yellow Submarine by The Beatles,1,1,4,4
Back Door Man,The Doors,1967,Back Door Man by The Doors,1,1,4,4
Funk #49,The James Gang,1970,Funk #49 by The James Gang,1,1,4,4
Come Out and Play,The Offspring,1994,Come Out and Play by The Offspring,1,1,4,4
Self Esteem,The Offspring,1994,Self Esteem by The Offspring,1,1,4,4
Driven to Tears,The Police,1980,Driven to Tears by The Police,1,1,4,4
Join Together,The Who,1972,Join Together by The Who,1,1,4,4
I Will Follow,U2,1980,I Will Follow by U2,1,1,4,4
I'm the One,Van Halen,1978,I'm the One by Van Halen,1,1,4,4
Love Walks In,Van Halen,1986,Love Walks In by Van Halen,1,1,4,4
Summer Nights,Van Halen,1986,Summer Nights by Van Halen,1,1,4,4
PLAY THAT FUNKY MUSIC,Wild Cherry,1976,PLAY THAT FUNKY MUSIC by Wild Cherry,1,1,4,4
What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,1,1,3,3
Let There Be Rock,AC/DC,1977,Let There Be Rock by AC/DC,1,1,3,3
Whole Lotta Rosie,AC/DC,1977,Whole Lotta Rosie by AC/DC,1,1,3,3
Big Ten Inch,Aerosmith,1975,Big Ten Inch by Aerosmith,1,1,3,3
No One to Run With,Allman Brothers Band,1994,No One to Run With by Allman Brothers Band,1,1,3,3
Only Time Will Tell,Asia,1982,Only Time Will Tell by Asia,1,1,3,3
No Sleep Till Brooklyn,Beastie Boys,1986,No Sleep Till Brooklyn by Beastie Boys,1,1,3,3
Scenes From An Italian Restaurant,Billy Joel,1977,Scenes From An Italian Restaurant by Billy Joel,1,1,3,3
Sometimes A Fantasy,Billy Joel,1980,Sometimes A Fantasy by Billy Joel,1,1,3,3
Song 2,Blur,1997,Song 2 by Blur,1,1,3,3
Like a Rolling Stone,Bob Dylan,1965,Like a Rolling Stone by Bob Dylan,1,1,3,3
Positively 4th Street,Bob Dylan,1965,Positively 4th Street by Bob Dylan,1,1,3,3
Machinehead,Bush,1994,Machinehead by Bush,1,1,3,3
Far Behind,Candlebox,1993,Far Behind by Candlebox,1,1,3,3
Don't Know What You Got,Cinderella,1988,Don't Know What You Got by Cinderella,1,1,3,3
Green River,Creedence Clearwater Revival,1969,Green River by Creedence Clearwater Revival,1,1,3,3
(I Just) Died in Your Arms,Cutting Crew,1986,(I Just) Died in Your Arms by Cutting Crew,1,1,3,3
Heroes,David Bowie,1977,Heroes by David Bowie,1,1,3,3
Counting Blue Cars,Dishwalla,1995,Counting Blue Cars by Dishwalla,1,1,3,3
Sweet Talkin' Woman,Electric Light Orchestra,1978,Sweet Talkin' Woman by Electric Light Orchestra,1,1,3,3
Pump It Up,Elvis Costello,1978,Pump It Up by Elvis Costello,1,1,3,3
She's Waiting,Eric Clapton,1985,She's Waiting by Eric Clapton,1,1,3,3
Epic,Faith No More,1989,Epic by Faith No More,1,1,3,3
I Don't Want To Know,Fleetwood Mac,1977,I Don't Want To Know by Fleetwood Mac,1,1,3,3
Monkey Wrench,Foo Fighters,1997,Monkey Wrench by Foo Fighters,1,1,3,3
Give Me Love,George Harrison,1973,Give Me Love by George Harrison,1,1,3,3
Hey Jealousy,Gin Blossoms,1992,Hey Jealousy by Gin Blossoms,1,1,3,3
Smuggler's Blues,Glenn Frey,1984,Smuggler's Blues by Glenn Frey,1,1,3,3
Casey Jones,Grateful Dead,1970,Casey Jones by Grateful Dead,1,1,3,3
Sugar Magnolia,Grateful Dead,1970,Sugar Magnolia by Grateful Dead,1,1,3,3
Dreamboat Annie,Heart,1976,Dreamboat Annie by Heart,1,1,3,3
Radioactive,Imagine Dragons,2012,Radioactive by Imagine Dragons,1,1,3,3
The Trooper,Iron Maiden,1983,The Trooper by Iron Maiden,1,1,3,3
Been Caught Stealing,Jane's Addiction,1990,Been Caught Stealing by Jane's Addiction,1,1,3,3
Thunder Island,Jay Ferguson,1978,Thunder Island by Jay Ferguson,1,1,3,3
We Built This City,Jefferson Starship,1985,We Built This City by Jefferson Starship,1,1,3,3
Right Here Right Now,Jesus Jones,1991,Right Here Right Now by Jesus Jones,1,1,3,3
Dolly Dagger,Jimi Hendrix,1970,Dolly Dagger by Jimi Hendrix,1,1,3,3
Only the Young,Journey,1985,Only the Young by Journey,1,1,3,3
Cowboy,Kid Rock,1998,Cowboy by Kid Rock,1,1,3,3
Bonzo's Montreaux,Led Zeppelin,1982,Bonzo's Montreaux by Led Zeppelin,1,1,3,3
No Quarter,Led Zeppelin,1973,No Quarter by Led Zeppelin,1,1,3,3
The Lemon Song,Led Zeppelin,1969,The Lemon Song by Led Zeppelin,1,1,3,3
The Rain Song,Led Zeppelin,1973,The Rain Song by Led Zeppelin,1,1,3,3
You Shook Me,Led Zeppelin,1969,You Shook Me by Led Zeppelin,1,1,3,3
The Memory Remains,Metallica,1997,The Memory Remains by Metallica,1,1,3,3
Wherever I May Roam,Metallica,1991,Wherever I May Roam by Metallica,1,1,3,3
"My My, Hey Hey",Neil Young,1979,"My My, Hey Hey by Neil Young",1,1,3,3
(You Can Still) Rock in America,Night Ranger,1983,(You Can Still) Rock in America by Night Ranger,1,1,3,3
Wonderwall,Oasis,1995,Wonderwall by Oasis,1,1,3,3
Coming Up,Paul McCartney & Wings,1980,Coming Up by Paul McCartney & Wings,1,1,3,3
Junior's Farm,Paul McCartney & Wings,1974,Junior's Farm by Paul McCartney & Wings,1,1,3,3
Silly Love Songs,Paul McCartney & Wings,1976,Silly Love Songs by Paul McCartney & Wings,1,1,3,3
Last Kiss,Pearl Jam,1999,Last Kiss by Pearl Jam,1,1,3,3
Sirens,Pearl Jam,2013,Sirens by Pearl Jam,1,1,3,3
Games Without Frontiers,Peter Gabriel,1980,Games Without Frontiers by Peter Gabriel,1,1,3,3
Astronomy Domine,Pink Floyd,1967,Astronomy Domine by Pink Floyd,1,1,3,3
A Whiter Shade of Pale,Procol Harum,1967,A Whiter Shade of Pale by Procol Harum,1,1,3,3
Bicycle Race,Queen,1978,Bicycle Race by Queen,1,1,3,3
Stone Cold,Rainbow,1982,Stone Cold by Rainbow,1,1,3,3
Dani California,Red Hot Chili Peppers,2006,Dani California by Red Hot Chili Peppers,1,1,3,3
No No Song,Ringo Starr,1974,No No Song by Ringo Starr,1,1,3,3
Bridge of Sighs,Robin Trower,1974,Bridge of Sighs by Robin Trower,1,1,3,3
Heartbreaker,Rolling Stones,1973,Heartbreaker by Rolling Stones,1,1,3,3
Waiting on a Friend,Rolling Stones,1981,Waiting on a Friend by Rolling Stones,1,1,3,3
In The Mood,Rush,1974,In The Mood by Rush,1,1,3,3
SOUL MAN,Sam & Dave,1967,SOUL MAN by Sam & Dave,1,1,3,3
Red,Sammy Hagar,1978,Red by Sammy Hagar,1,1,3,3
1979,Smashing Pumpkins,1995,1979 by Smashing Pumpkins,1,1,3,3
Peg,Steely Dan,1977,Peg by Steely Dan,1,1,3,3
Copperhead Road,Steve Earle,1988,Copperhead Road by Steve Earle,1,1,3,3
Leather and Lace,Stevie Nicks,1981,Leather and Lace by Stevie Nicks,1,1,3,3
Scuttle Buttin',Stevie Ray Vaughan,1984,Scuttle Buttin' by Stevie Ray Vaughan,1,1,3,3
Vasoline,Stone Temple Pilots,1994,Vasoline by Stone Temple Pilots,1,1,3,3
Light Up,Styx,1975,Light Up by Styx,1,1,3,3
Bloody Well Right,Supertramp,1974,Bloody Well Right by Supertramp,1,1,3,3
Games People Play,The Alan Parsons Project,1981,Games People Play by The Alan Parsons Project,1,1,3,3
Monterey,The Animals,1968,Monterey by The Animals,1,1,3,3
The Night They Drove Old Dixie Down,The Band,1969,The Night They Drove Old Dixie Down by The Band,1,1,3,3
All You Need Is Love,The Beatles,1967,All You Need Is Love by The Beatles,1,1,3,3
Blackbird,The Beatles,1968,Blackbird by The Beatles,1,1,3,3
I Saw Her Standing There,The Beatles,1963,I Saw Her Standing There by The Beatles,1,1,3,3
I've Got A Feeling,The Beatles,1970,I've Got A Feeling by The Beatles,1,1,3,3
I've Just Seen A Face,The Beatles,1965,I've Just Seen A Face by The Beatles,1,1,3,3
Penny Lane,The Beatles,1967,Penny Lane by The Beatles,1,1,3,3
Rocky Raccoon,The Beatles,1968,Rocky Raccoon by The Beatles,1,1,3,3
Sgt. Pepper's Lonely Hearts Club Band (Reprise),The Beatles,1967,Sgt. Pepper's Lonely Hearts Club Band (Reprise) by The Beatles,1,1,3,3
Sgt. Pepper/a Day In The Life,The Beatles,1967,Sgt. Pepper/a Day In The Life by The Beatles,1,1,3,3
She Loves You,The Beatles,1963,She Loves You by The Beatles,1,1,3,3
Gold On The Ceiling,The Black Keys,2011,Gold On The Ceiling by The Black Keys,1,1,3,3
Drive,The Cars,1984,Drive by The Cars,1,1,3,3
Fire Woman,The Cult,1989,Fire Woman by The Cult,1,1,3,3
Radioactive,The Firm,1985,Radioactive by The Firm,1,1,3,3
Destroyer,The Kinks,1981,Destroyer by The Kinks,1,1,3,3
Life in the Fast Lane,The New Eagles,1976,Life in the Fast Lane by The New Eagles,1,1,3,3
So Lonely,The Police,1978,So Lonely by The Police,1,1,3,3
Dirty Water,The Standells,1966,Dirty Water by The Standells,1,1,3,3
05:15,The Who,1973,0.21875 by The Who,1,1,3,3
We're Not Gonna Take It,The Who,1969,We're Not Gonna Take It by The Who,1,1,3,3
Even Better Than the Real Thing,U2,1991,Even Better Than the Real Thing by U2,1,1,3,3
Vertigo,U2,2004,Vertigo by U2,1,1,3,3
1984/jump,Van Halen,1984,1984/jump by Van Halen,1,1,3,3
The Cisco Kid,War,1972,The Cisco Kid by War,1,1,3,3
"Lawyers, Guns and Money",Warren Zevon,1978,"Lawyers, Guns and Money by Warren Zevon",1,1,3,3
Fool for Your Loving,Whitesnake,1980,Fool for Your Loving by Whitesnake,1,1,3,3
It Can Happen,Yes,1983,It Can Happen by Yes,1,1,3,3
Shot Down In Flames,AC/DC,1979,Shot Down In Flames by AC/DC,1,1,2,2
Touch Too Much,AC/DC,1979,Touch Too Much by AC/DC,1,1,2,2
No More No More,Aerosmith,1975,No More No More by Aerosmith,1,1,2,2
Seasons of Wither,Aerosmith,1974,Seasons of Wither by Aerosmith,1,1,2,2
Toys in the Attic,Aerosmith,1975,Toys in the Attic by Aerosmith,1,1,2,2
Billion Dollar Babies,Alice Cooper,1973,Billion Dollar Babies by Alice Cooper,1,1,2,2
No Excuses,Alice In Chains,1994,No Excuses by Alice In Chains,1,1,2,2
Rooster,Alice In Chains,1992,Rooster by Alice In Chains,1,1,2,2
Them Bones,Alice In Chains,1992,Them Bones by Alice In Chains,1,1,2,2
Would?,Alice In Chains,1992,Would? by Alice In Chains,1,1,2,2
Good Clean Fun,Allman Brothers Band,1990,Good Clean Fun by Allman Brothers Band,1,1,2,2
No Matter What,Badfinger,1970,No Matter What by Badfinger,1,1,2,2
In a Big Country,Big Country,1983,In a Big Country by Big Country,1,1,2,2
Eyes Without a Face,Billy Idol,1984,Eyes Without a Face by Billy Idol,1,1,2,2
New York State Of Mind,Billy Joel,1976,New York State Of Mind by Billy Joel,1,1,2,2
The Ballad Of Billy The Kid,Billy Joel,1973,The Ballad Of Billy The Kid by Billy Joel,1,1,2,2
No Rain,Blind Melon,1992,No Rain by Blind Melon,1,1,2,2
I Love the Night,Blue Oyster Cult,1977,I Love the Night by Blue Oyster Cult,1,1,2,2
One Love,Bob Marley,1977,One Love by Bob Marley,1,1,2,2
Lay Your Hands On Me,Bon Jovi,1988,Lay Your Hands On Me by Bon Jovi,1,1,2,2
Badlands,Bruce Springsteen,1978,Badlands by Bruce Springsteen,1,1,2,2
Jungleland,Bruce Springsteen,1975,Jungleland by Bruce Springsteen,1,1,2,2
Prove It All Night,Bruce Springsteen,1978,Prove It All Night by Bruce Springsteen,1,1,2,2
Goin' up the Country,Canned Heat,1968,Goin' up the Country by Canned Heat,1,1,2,2
WILD WORLD,Cat Stevens,1971,WILD WORLD by Cat Stevens,1,1,2,2
Uneasy Rider,Charlie Daniels Band,1973,Uneasy Rider by Charlie Daniels Band,1,1,2,2
Feeling Stronger Every,Chicago,1973,Feeling Stronger Every by Chicago,1,1,2,2
Saturday In the Park,Chicago,1972,Saturday In the Park by Chicago,1,1,2,2
JOHNNY B. GOODE,Chuck Berry,1958,JOHNNY B. GOODE by Chuck Berry,1,1,2,2
Hot Rod Lincoln,Commander Cody,1971,Hot Rod Lincoln by Commander Cody,1,1,2,2
Mr. Jones,Counting Crows,1993,Mr. Jones by Counting Crows,1,1,2,2
Low,Cracker,1993,Low by Cracker,1,1,2,2
Kentucky Woman,Deep Purple,1968,Kentucky Woman by Deep Purple,1,1,2,2
Enjoy the Silence,Depeche Mode,1990,Enjoy the Silence by Depeche Mode,1,1,2,2
Lady Writer,Dire Straits,1979,Lady Writer by Dire Straits,1,1,2,2
Right Place Wrong Time,Dr. John,1973,Right Place Wrong Time by Dr. John,1,1,2,2
I Can't Tell You Why,Eagles,1979,I Can't Tell You Why by Eagles,1,1,2,2
New Kid In Town,Eagles,1976,New Kid In Town by Eagles,1,1,2,2
WAR,Edwin Starr,1970,WAR by Edwin Starr,1,1,2,2
Honky Cat,Elton John,1972,Honky Cat by Elton John,1,1,2,2
Cliffs Of Dover,Eric Johnson,1990,Cliffs Of Dover by Eric Johnson,1,1,2,2
Sweet Dreams (Are Made of This),Eurythmics,1982,Sweet Dreams (Are Made of This) by Eurythmics,1,1,2,2
Santa Monica,Everclear,1996,Santa Monica by Everclear,1,1,2,2
Hypnotized,Fleetwood Mac,1973,Hypnotized by Fleetwood Mac,1,1,2,2
All My Life,Foo Fighters,2002,All My Life by Foo Fighters,1,1,2,2
These Days,Foo Fighters,2011,These Days by Foo Fighters,1,1,2,2
You Belong to the City,Glenn Frey,1985,You Belong to the City by Glenn Frey,1,1,2,2
Friend Of The Devil,Grateful Dead,1970,Friend Of The Devil by Grateful Dead,1,1,2,2
Longview,Green Day,1994,Longview by Green Day,1,1,2,2
How Can I Refuse,Heart,1983,How Can I Refuse by Heart,1,1,2,2
30 Days In the Hole,Humble Pie,1972,30 Days In the Hole by Humble Pie,1,1,2,2
Load Out/Stay,Jackson Browne,1977,Load Out/Stay by Jackson Browne,1,1,2,2
Move Over,Janis Joplin,1971,Move Over by Janis Joplin,1,1,2,2
Cold Hard Bitch,Jet,2004,Cold Hard Bitch by Jet,1,1,2,2
Third Stone From The Sun,Jimi Hendrix,1967,Third Stone From The Sun by Jimi Hendrix,1,1,2,2
Voodoo Child (Slight Return),Jimi Hendrix,1968,Voodoo Child (Slight Return) by Jimi Hendrix,1,1,2,2
Why Don't We Get Drunk,Jimmy Buffett,1973,Why Don't We Get Drunk by Jimmy Buffett,1,1,2,2
Ordinary Average Guy,Joe Walsh,1991,Ordinary Average Guy by Joe Walsh,1,1,2,2
#9 Dream,John Lennon,1974,#9 Dream by John Lennon,1,1,2,2
I CAN SEE CLEARLY NOW,Johnny Nash,1972,I CAN SEE CLEARLY NOW by Johnny Nash,1,1,2,2
Use Somebody,Kings of Leon,2008,Use Somebody by Kings of Leon,1,1,2,2
Beth,Kiss,1976,Beth by Kiss,1,1,2,2
Cold Gin,Kiss,1973,Cold Gin by Kiss,1,1,2,2
Bron-y-aur Stomp,Led Zeppelin,1970,Bron-y-aur Stomp by Led Zeppelin,1,1,2,2
Darlene,Led Zeppelin,1982,Darlene by Led Zeppelin,1,1,2,2
Friends,Led Zeppelin,1970,Friends by Led Zeppelin,1,1,2,2
How Many More Times,Led Zeppelin,1969,How Many More Times by Led Zeppelin,1,1,2,2
In My Time of Dying,Led Zeppelin,1975,In My Time of Dying by Led Zeppelin,1,1,2,2
Royal Orleans,Led Zeppelin,1976,Royal Orleans by Led Zeppelin,1,1,2,2
The Rover,Led Zeppelin,1975,The Rover by Led Zeppelin,1,1,2,2
The Song Remains the Same,Led Zeppelin,1973,The Song Remains the Same by Led Zeppelin,1,1,2,2
My Own Worst Enemy,Lit,1999,My Own Worst Enemy by Lit,1,1,2,2
Bound for the Floor,Local H,1996,Bound for the Floor by Local H,1,1,2,2
Conquistador,London Symphony Orchestra,1967,Conquistador by London Symphony Orchestra,1,1,2,2
The Kid Is Hot Tonite,Loverboy,1980,The Kid Is Hot Tonite by Loverboy,1,1,2,2
Do Wah Diddy Diddy,Manfred Mann,1964,Do Wah Diddy Diddy by Manfred Mann,1,1,2,2
Breadfan,Metallica,1998,Breadfan by Metallica,1,1,2,2
Fuel,Metallica,1997,Fuel by Metallica,1,1,2,2
Master of Puppets,Metallica,1986,Master of Puppets by Metallica,1,1,2,2
Until It Sleeps,Metallica,1996,Until It Sleeps by Metallica,1,1,2,2
In the Summertime,Mungo Jerry,1970,In the Summertime by Mungo Jerry,1,1,2,2
Down by the River,Neil Young,1969,Down by the River by Neil Young,1,1,2,2
Like a Hurricane,Neil Young,1977,Like a Hurricane by Neil Young,1,1,2,2
Powderfinger,Neil Young,1978,Powderfinger by Neil Young,1,1,2,2
Sugar Mountain,Neil Young,1969,Sugar Mountain by Neil Young,1,1,2,2
Don't Tell Me You Love Me,Night Ranger,1982,Don't Tell Me You Love Me by Night Ranger,1,1,2,2
About a Girl,Nirvana,1989,About a Girl by Nirvana,1,1,2,2
On a Plain,Nirvana,1991,On a Plain by Nirvana,1,1,2,2
Polly,Nirvana,1991,Polly by Nirvana,1,1,2,2
If You Wanna Get to Heaven,Ozark Mountain Daredevils,1973,If You Wanna Get to Heaven by Ozark Mountain Daredevils,1,1,2,2
Jackie Blue,Ozark Mountain Daredevils,1975,Jackie Blue by Ozark Mountain Daredevils,1,1,2,2
Goodbye To Romance,Ozzy Osbourne,1980,Goodbye To Romance by Ozzy Osbourne,1,1,2,2
Perry Mason,Ozzy Osbourne,1995,Perry Mason by Ozzy Osbourne,1,1,2,2
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Linda McCartney,1,1,2,2
Venus and Mars/Rock Show,Paul McCartney & Wings,1975,Venus and Mars/Rock Show by Paul McCartney & Wings,1,1,2,2
Kodachrome,Paul Simon,1973,Kodachrome by Paul Simon,1,1,2,2
Dissident,Pearl Jam,1994,Dissident by Pearl Jam,1,1,2,2
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,1993,Elderly Woman Behind the Counter in a Small Town by Pearl Jam,1,1,2,2
Yellow Ledbetter,Pearl Jam,1992,Yellow Ledbetter by Pearl Jam,1,1,2,2
Rough Boys,Pete Townshend,1980,Rough Boys by Pete Townshend,1,1,2,2
SHOCK THE MONKEY,Peter Gabriel,1982,SHOCK THE MONKEY by Peter Gabriel,1,1,2,2
Any Colour You Like,Pink Floyd,1973,Any Colour You Like by Pink Floyd,1,1,2,2
Shine On You Crazy Diamond,Pink Floyd,1975,Shine On You Crazy Diamond by Pink Floyd,1,1,2,2
The Dogs Of War,Pink Floyd,1987,The Dogs Of War by Pink Floyd,1,1,2,2
Don't Stop Me Now,Queen,1977,Don't Stop Me Now by Queen,1,1,2,2
Another Rainy Night,Queensryche,1990,Another Rainy Night by Queensryche,1,1,2,2
I Can't Fight This Feeling,REO Speedwagon,1984,I Can't Fight This Feeling by REO Speedwagon,1,1,2,2
Jessie's Girl,Rick Springfield,1981,Jessie's Girl by Rick Springfield,1,1,2,2
Back Off Boogaloo,Ringo Starr,1972,Back Off Boogaloo by Ringo Starr,1,1,2,2
Your're Sixteen,Ringo Starr,1974,Your're Sixteen by Ringo Starr,1,1,2,2
Tonight's the Night (Gonna Be Alright),Rod Stewart,1976,Tonight's the Night (Gonna Be Alright) by Rod Stewart,1,1,2,2
Hand of Fate,Rolling Stones,1976,Hand of Fate by Rolling Stones,1,1,2,2
Hang Fire,Rolling Stones,1981,Hang Fire by Rolling Stones,1,1,2,2
Midnight Rambler,Rolling Stones,1969,Midnight Rambler by Rolling Stones,1,1,2,2
THE LAST TIME,Rolling Stones,1965,THE LAST TIME by Rolling Stones,1,1,2,2
2112: Overture / The Temples of Syrinx (Chronicles Version),Rush,1976,2112: Overture / The Temples of Syrinx (Chronicles Version) by Rush,1,1,2,2
Entre Nous,Rush,1980,Entre Nous by Rush,1,1,2,2
Show Don't Tell,Rush,1989,Show Don't Tell by Rush,1,1,2,2
YYZ,Rush,1981,YYZ by Rush,1,1,2,2
Voices,Russ Ballard,1975,Voices by Russ Ballard,1,1,2,2
Trans Am (Highway Wonderland),Sammy Hagar,1979,Trans Am (Highway Wonderland) by Sammy Hagar,1,1,2,2
Put Your Lights On (feat. Everlast),Santana,1999,Put Your Lights On (feat. Everlast) by Santana,1,1,2,2
Smooth,Santana,1999,Smooth by Santana,1,1,2,2
Soul Sacrifice,Santana,1969,Soul Sacrifice by Santana,1,1,2,2
45,Shinedown,2003,45 by Shinedown,1,1,2,2
All Star,Smash Mouth,1999,All Star by Smash Mouth,1,1,2,2
Today,Smashing Pumpkins,1993,Today by Smashing Pumpkins,1,1,2,2
Pulling Mussels,Squeeze,1980,Pulling Mussels by Squeeze,1,1,2,2
Black Cow,Steely Dan,1977,Black Cow by Steely Dan,1,1,2,2
Suite Madame Blue,Styx,1975,Suite Madame Blue by Styx,1,1,2,2
Wrong Way,Sublime,1996,Wrong Way by Sublime,1,1,2,2
Dreamer,Supertramp,1974,Dreamer by Supertramp,1,1,2,2
Eye In the Sky,The Alan Parsons Project,1982,Eye In the Sky by The Alan Parsons Project,1,1,2,2
Day Tripper,The Beatles,1965,Day Tripper by The Beatles,1,1,2,2
Fixing A Hole,The Beatles,1967,Fixing A Hole by The Beatles,1,1,2,2
I Want To Hold Your Hand,The Beatles,1963,I Want To Hold Your Hand by The Beatles,1,1,2,2
I Want You (She's So Heavy),The Beatles,1969,I Want You (She's So Heavy) by The Beatles,1,1,2,2
I'm A Loser,The Beatles,1964,I'm A Loser by The Beatles,1,1,2,2
Lovely Rita,The Beatles,1967,Lovely Rita by The Beatles,1,1,2,2
Maxwell's Silver Hammer,The Beatles,1969,Maxwell's Silver Hammer by The Beatles,1,1,2,2
Please Please Me,The Beatles,1963,Please Please Me by The Beatles,1,1,2,2
Sgt. Pepper Inner Groove,The Beatles,1967,Sgt. Pepper Inner Groove by The Beatles,1,1,2,2
The Fool On The Hill,The Beatles,1967,The Fool On The Hill by The Beatles,1,1,2,2
The Long And Winding Road,The Beatles,1970,The Long And Winding Road by The Beatles,1,1,2,2
Things We Said Today,The Beatles,1964,Things We Said Today by The Beatles,1,1,2,2
Two Of Us,The Beatles,1970,Two Of Us by The Beatles,1,1,2,2
You Never Give Me Your Money,The Beatles,1969,You Never Give Me Your Money by The Beatles,1,1,2,2
Eight Miles High,The Byrds,1966,Eight Miles High by The Byrds,1,1,2,2
Clampdown,The Clash,1979,Clampdown by The Clash,1,1,2,2
Twentieth Century Fox,The Doors,1967,Twentieth Century Fox by The Doors,1,1,2,2
Saved By Zero,The Fixx,1983,Saved By Zero by The Fixx,1,1,2,2
Iris,The Goo Goo Dolls,1998,Iris by The Goo Goo Dolls,1,1,2,2
Apeman,The Kinks,1971,Apeman by The Kinks,1,1,2,2
